2022-10-19 09:44:00.268 [main] INFO  com.xzkj.smsService.SmsApplication - Starting SmsApplication on localhost with PID 1193 (/Users/yoca-391/Desktop/works/csp_5G/service/service_sms/target/classes started by yoca-391 in /Users/yoca-391/Desktop/works/csp_5G)
2022-10-19 10:46:02.427 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-19 10:46:02.433 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-19 10:46:02.492 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23ms. Found 0 repository interfaces.
2022-10-19 10:46:03.202 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-10-19 10:46:04.374 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2022-10-19 10:46:04.399 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2022-10-19 10:46:04.401 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-19 10:46:04.401 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2022-10-19 10:46:04.601 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/base] - Initializing Spring embedded WebApplicationContext
2022-10-19 10:46:04.601 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3605 ms
2022-10-19 10:46:05.271 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-10-19 10:46:06.208 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2022-10-19 10:46:06.209 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-10-19 10:46:06.221 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-10-19 10:46:06.228 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2022-10-19 10:46:06.264 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-10-19 10:50:12.456 [main] INFO  com.xzkj.smsService.SmsApplication - Starting SmsApplication on localhost with PID 1696 (/Users/yoca-391/Desktop/works/csp_5G/service/service_sms/target/classes started by yoca-391 in /Users/yoca-391/Desktop/works/csp_5G)
2022-10-19 10:50:12.482 [main] INFO  com.xzkj.smsService.SmsApplication - The following profiles are active: dev
2022-10-19 10:50:13.952 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-19 10:50:13.958 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-19 10:50:14.020 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28ms. Found 0 repository interfaces.
2022-10-19 10:50:14.696 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-10-19 10:50:15.827 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2022-10-19 10:50:15.849 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2022-10-19 10:50:15.850 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-19 10:50:15.851 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2022-10-19 10:50:16.005 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/base] - Initializing Spring embedded WebApplicationContext
2022-10-19 10:50:16.005 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3375 ms
2022-10-19 10:50:16.680 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-10-19 10:50:18.771 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-10-19 10:50:19.920 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2022-10-19 10:50:19.970 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/base'
2022-10-19 10:50:19.976 [main] INFO  com.xzkj.smsService.SmsApplication - Started SmsApplication in 8.93 seconds (JVM running for 21.361)
2022-10-19 10:50:41.670 [http-nio-8081-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/base] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-19 10:50:41.672 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-10-19 10:50:41.694 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 19 ms
2022-10-19 10:50:42.247 [http-nio-8081-exec-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2022-10-19 10:50:42.251 [http-nio-8081-exec-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2022-10-19 10:50:42.813 [http-nio-8081-exec-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-2} inited
2022-10-19 10:50:43.115 [http-nio-8081-exec-1] INFO  com.xzkj.smsService.controller.TStudentController - [TStudent(id=1, name=xpy, age=18)]
2022-10-19 10:50:43.129 [http-nio-8081-exec-1] INFO  com.xzkj.smsService.controller.TStudentController - 缓存值：yy
2022-10-19 10:50:55.324 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2022-10-19 10:50:55.464 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-2} closing ...
2022-10-19 10:50:55.474 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-2} closed
2022-10-19 10:50:55.475 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-10-19 10:50:55.477 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-10-19 10:54:11.948 [main] INFO  com.xzkj.accessService.AccessApplication - Starting AccessApplication on localhost with PID 1730 (/Users/yoca-391/Desktop/works/csp_5G/service/service_access/target/classes started by yoca-391 in /Users/yoca-391/Desktop/works/csp_5G)
2022-10-19 10:54:11.967 [main] INFO  com.xzkj.accessService.AccessApplication - The following profiles are active: dev
2022-10-19 10:54:13.379 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-19 10:54:13.384 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-19 10:54:13.446 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 33ms. Found 0 repository interfaces.
2022-10-19 10:54:14.910 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9555 (http)
2022-10-19 10:54:14.927 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9555"]
2022-10-19 10:54:14.928 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-19 10:54:14.929 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2022-10-19 10:54:15.069 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/xiuzhi/bj_mobile] - Initializing Spring embedded WebApplicationContext
2022-10-19 10:54:15.070 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2959 ms
2022-10-19 10:54:15.235 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2022-10-19 10:54:15.237 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'TaskExecutor'
2022-10-19 10:54:16.067 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'TaskExecutor'
2022-10-19 10:54:16.076 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2022-10-19 10:54:16.108 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-10-19 10:57:44.959 [main] INFO  com.xzkj.accessService.AccessApplication - Starting AccessApplication on localhost with PID 1750 (/Users/yoca-391/Desktop/works/csp_5G/service/service_access/target/classes started by yoca-391 in /Users/yoca-391/Desktop/works/csp_5G)
2022-10-19 10:57:44.964 [main] INFO  com.xzkj.accessService.AccessApplication - The following profiles are active: dev
2022-10-19 10:57:46.232 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-19 10:57:46.240 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-19 10:57:46.300 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 36ms. Found 0 repository interfaces.
2022-10-19 10:57:47.857 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9555 (http)
2022-10-19 10:57:47.875 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9555"]
2022-10-19 10:57:47.877 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-19 10:57:47.877 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2022-10-19 10:57:48.035 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/xiuzhi/bj_mobile] - Initializing Spring embedded WebApplicationContext
2022-10-19 10:57:48.036 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2887 ms
2022-10-19 10:57:48.222 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2022-10-19 10:57:48.224 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'TaskExecutor'
2022-10-19 10:57:49.208 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2022-10-19 10:57:49.209 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'asyncPoolTaskExecutor'
2022-10-19 10:57:49.211 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2022-10-19 10:57:49.211 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'sendPoolTaskExecutor'
2022-10-19 10:57:50.351 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [82.157.251.233:5672]
2022-10-19 10:57:50.484 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#34f23816:0/SimpleConnection@1f7b1d6a [delegate=amqp://admin@82.157.251.233:5672/, localPort= 50410]
2022-10-19 10:58:01.226 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9555"]
2022-10-19 10:58:01.275 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9555 (http) with context path '/xiuzhi/bj_mobile'
2022-10-19 10:58:01.282 [main] INFO  com.xzkj.accessService.AccessApplication - Started AccessApplication in 17.667 seconds (JVM running for 26.801)
2022-10-19 11:01:03.072 [rebel-change-detector-thread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-19 11:01:03.106 [rebel-change-detector-thread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 30ms. Found 0 repository interfaces.
2022-10-19 11:05:21.836 [rebel-change-detector-thread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-19 11:05:21.868 [rebel-change-detector-thread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28ms. Found 0 repository interfaces.
2022-10-19 11:07:36.886 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2022-10-19 11:07:36.914 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2022-10-19 11:07:38.137 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2022-10-19 11:07:38.152 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2022-10-19 11:07:39.356 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2022-10-19 11:07:39.370 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2022-10-19 11:07:40.477 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2022-10-19 11:07:40.492 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2022-10-19 11:07:40.517 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2022-10-19 11:07:40.518 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2022-10-19 11:07:40.518 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2022-10-19 11:07:40.518 [SpringContextShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2022-10-19 11:07:40.521 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'sendPoolTaskExecutor'
2022-10-19 11:07:40.522 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'asyncPoolTaskExecutor'
2022-10-19 11:07:40.618 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'TaskExecutor'
2022-10-19 11:07:57.063 [main] INFO  com.xzkj.accessService.AccessApplication - Starting AccessApplication on localhost with PID 1862 (/Users/yoca-391/Desktop/works/csp_5G/service/service_access/target/classes started by yoca-391 in /Users/yoca-391/Desktop/works/csp_5G)
2022-10-19 11:07:57.068 [main] INFO  com.xzkj.accessService.AccessApplication - The following profiles are active: dev
2022-10-19 11:07:58.326 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-19 11:07:58.330 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-19 11:07:58.391 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 35ms. Found 0 repository interfaces.
2022-10-19 11:07:59.861 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-10-19 11:07:59.879 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-10-19 11:07:59.881 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-19 11:07:59.881 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2022-10-19 11:08:00.048 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-10-19 11:08:00.049 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2796 ms
2022-10-19 11:08:00.221 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2022-10-19 11:08:00.223 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'TaskExecutor'
2022-10-19 11:08:01.146 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2022-10-19 11:08:01.147 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'asyncPoolTaskExecutor'
2022-10-19 11:08:01.149 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2022-10-19 11:08:01.149 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'sendPoolTaskExecutor'
2022-10-19 11:08:02.235 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [82.157.251.233:5672]
2022-10-19 11:08:02.336 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#36d697ab:0/SimpleConnection@2570851e [delegate=amqp://admin@82.157.251.233:5672/, localPort= 50726]
2022-10-19 11:08:11.744 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-10-19 11:08:11.784 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-10-19 11:08:11.789 [main] INFO  com.xzkj.accessService.AccessApplication - Started AccessApplication in 16.098 seconds (JVM running for 26.604)
2022-10-19 11:09:32.861 [http-nio-8888-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-19 11:09:32.863 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-10-19 11:09:32.892 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 28 ms
2022-10-19 11:09:33.409 [http-nio-8888-exec-1] INFO  c.x.a.controller.gateway.SendMsgGateWayApi - 网关线程名称http-nio-8888-exec-1
2022-10-19 11:09:33.751 [http-nio-8888-exec-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2022-10-19 11:09:33.756 [http-nio-8888-exec-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2022-10-19 11:09:34.090 [http-nio-8888-exec-1] INFO  c.x.a.controller.gateway.SendMsgGateWayApi - 生产耗时: 680
2022-10-19 11:09:34.102 [http-nio-8888-exec-1] INFO  c.x.a.controller.gateway.SendMsgGateWayApi - 接受到响应耗时：692毫秒
2022-10-19 11:09:34.126 [sendAsync-1] INFO  com.xzkj.accessService.utils.AsyncUtils - 异步线程： sendAsync-1发送到客户端时间: 1666148974126
2022-10-19 11:09:34.250 [rabbitConnectionFactory1] INFO  com.xzkj.accessService.rabbitMQ.conf.RabbitConfig - 确认消息到服务端时间：1666148974250
2022-10-19 11:09:34.252 [rabbitConnectionFactory1] INFO  com.xzkj.accessService.rabbitMQ.conf.RabbitConfig - ConfirmCallback:     相关数据：null
2022-10-19 11:09:34.254 [rabbitConnectionFactory1] INFO  com.xzkj.accessService.rabbitMQ.conf.RabbitConfig - ConfirmCallback:     确认情况：true
2022-10-19 11:09:34.258 [rabbitConnectionFactory1] INFO  com.xzkj.accessService.rabbitMQ.conf.RabbitConfig - ConfirmCallback:     原因：null
2022-10-19 11:09:34.285 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] INFO  c.x.a.rabbitMQ.listening.MsgCustomerListen - 线程名称：org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1客户端接收时间：1666148974285
2022-10-19 11:09:34.297 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] INFO  c.x.a.rabbitMQ.listening.MsgCustomerListen - deliveryTag：
2022-10-19 11:09:34.298 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] INFO  c.x.a.rabbitMQ.listening.MsgCustomerListen - DirectReceiver消费者收到消息  : TextMsgModel{serverRoot='localhost:8888', apiVersion='v1', chatbotURI='sip%3A12599%40botplatform.rcs.chinamobile.com', callbackURL='null', cspid='test12345', csptoken='ff556388699c84a4ae73bc719eda6480c0d8290c575f297d7f65dad8f9c6804f', messageId='null', authorization='null', address='00000', destinationAddress=[], senderAddress='null', contentType='application/xml', conversationID='null', contributionID='null', capabilityId='null', version='null', bodyText='null', tid='null', fileURL='null', reportRequest=[], clientCorrelator='null', shortMessageSupported='null', storeSupported='null', multimediaMessageSupported='null', Date='null', map={senderAddress=sip%3A12599%40botplatform.rcs.chinamobile.com, destinationAddress=18756232770,18756232771,18756232772,18756232773, bodyText=Hello world, reportRequest=Delivered,Failed,Interworking, capabilityId=ChatbotSA, version=+g.gsma.rcs.botversion=&quot;#=1&quot;, contentType=text/plain, clientCorrelator=567895}, notify={}, fileInfos=[], callingAddress='null'}
2022-10-19 11:09:34.298 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] INFO  c.x.a.rabbitMQ.listening.MsgCustomerListen - 消费主题来自：SendDirectQueue
2022-10-19 11:09:34.299 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] INFO  c.xzkj.accessService.service.impl.SendServiceImpl - 消费开始时间：1666148974299
2022-10-19 11:09:34.299 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] INFO  c.xzkj.accessService.service.impl.SendServiceImpl - 消费者线程： org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1
2022-10-19 11:09:34.649 [http-nio-8888-exec-3] INFO  org.apache.coyote.http11.Http11Processor - Error parsing HTTP request header
 Note: further occurrences of HTTP request parsing errors will be logged at DEBUG level.
java.lang.IllegalArgumentException: Invalid character found in method name. HTTP method names must be tokens
	at org.apache.coyote.http11.Http11InputBuffer.parseRequestLine(Http11InputBuffer.java:415)
	at org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:292)
	at org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:66)
	at org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:861)
	at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1579)
